Date (MM/DD/YYYY),delay_class,Arrival Time,EWR,IAD,ORD,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,wind_spd,temp,wind_dir,weather,precip,pres,vis,clouds,dewpt,rh,wind_gust_spd
2022-05-03 21:59:00,early,21:59,0,0,1,0,1,0,0,0,0,4.766666666666667,11.1,350.0,804.0,0.0,980.7333333333332,6.0,100.0,10.299999999999999,94.66666666666667,5.366666666666667
2022-05-03 23:37:00,on-time,23:37,0,1,0,0,1,0,0,0,0,5.8,10.366666666666667,360.0,804.0,0.0,982.9333333333334,11.666666666666666,100.0,9.166666666666666,92.0,7.933333333333334
2022-05-04 15:06:00,on-time,15:06,0,0,0,0,0,0,0,1,0,4.1,12.966666666666669,23.333333333333332,804.0,0.0,991.3000000000001,16.0,100.0,8.066666666666666,72.0,4.5
2022-05-04 21:59:00,on-time,21:59,0,0,1,0,0,0,0,1,0,2.233333333333333,11.5,70.0,801.3333333333334,0.0,992.4333333333334,16.0,33.333333333333336,6.933333333333334,73.66666666666667,2.4
2022-05-04 23:37:00,on-time,23:37,0,1,0,0,0,0,0,1,0,2.066666666666667,10.0,86.66666666666667,800.0,0.0,992.4,16.0,0.0,6.766666666666667,80.33333333333333,2.1999999999999997
2022-05-05 15:06:00,early,15:06,0,0,0,0,0,0,1,0,0,3.266666666666666,12.233333333333334,110.0,501.0,5.25,988.0333333333333,10.333333333333334,100.0,8.4,77.66666666666667,3.5666666666666664
2022-05-05 22:25:00,early,22:25,0,0,1,0,0,0,1,0,0,3.6,10.933333333333332,76.66666666666667,804.0,0.25,984.0666666666666,10.333333333333334,100.0,9.733333333333334,92.0,3.9
2022-05-06 15:09:00,on-time,15:09,0,0,0,0,0,1,0,0,0,6.366666666666667,11.699999999999998,50.0,804.0,0.25,976.1,12.0,100.0,9.500000000000002,86.33333333333333,8.933333333333334
2022-05-06 20:57:00,early,20:57,0,0,1,0,0,1,0,0,0,5.166666666666667,12.033333333333331,26.666666666666668,804.0,0.4166666666666667,976.6666666666666,16.0,100.0,9.166666666666668,82.66666666666667,5.866666666666667
2022-05-07 15:09:00,early,15:09,0,0,0,0,0,0,0,1,0,6.366666666666667,18.333333333333332,50.0,800.0,0.0,983.5,16.0,0.0,3.0,36.0,10.333333333333334
